split,video_id,host,episode,episode_group_id,label,frame_count,frames_missing,frames_short_lt_16,audio_exists,flow_exists
train,AN_WILTY_EP15_lie10,AN,15,AN_EP15,1,76,False,False,True,True
train,AN_WILTY_EP15_lie11,AN,15,AN_EP15,1,76,False,False,True,True
train,AN_WILTY_EP15_lie13,AN,15,AN_EP15,1,101,False,False,True,True
train,AN_WILTY_EP15_lie14,AN,15,AN_EP15,1,151,False,False,True,True
train,AN_WILTY_EP15_lie16,AN,15,AN_EP15,1,126,False,False,True,True
train,AN_WILTY_EP15_lie17,AN,15,AN_EP15,1,126,False,False,True,True
train,AN_WILTY_EP15_lie19,AN,15,AN_EP15,1,76,False,False,True,True
train,AN_WILTY_EP15_lie4,AN,15,AN_EP15,1,76,False,False,True,True
train,AN_WILTY_EP15_lie5,AN,15,AN_EP15,1,101,False,False,True,True
train,AN_WILTY_EP15_truth1,AN,15,AN_EP15,0,126,False,False,True,True
train,AN_WILTY_EP15_truth2,AN,15,AN_EP15,0,176,False,False,True,True
train,AN_WILTY_EP15_truth20,AN,15,AN_EP15,0,126,False,False,True,True
train,AN_WILTY_EP15_truth21,AN,15,AN_EP15,0,101,False,False,True,True
train,AN_WILTY_EP15_truth6,AN,15,AN_EP15,0,151,False,False,True,True
train,AN_WILTY_EP15_truth7,AN,15,AN_EP15,0,76,False,False,True,True
train,AN_WILTY_EP15_truth9,AN,15,AN_EP15,0,76,False,False,True,True
train,AN_WILTY_EP16_lie17,AN,16,AN_EP16,1,251,False,False,True,True
train,AN_WILTY_EP16_lie18,AN,16,AN_EP16,1,76,False,False,True,True
train,AN_WILTY_EP16_lie2,AN,16,AN_EP16,1,151,False,False,True,True
train,AN_WILTY_EP16_lie20,AN,16,AN_EP16,1,126,False,False,True,True
train,AN_WILTY_EP16_lie21,AN,16,AN_EP16,1,126,False,False,True,True
train,AN_WILTY_EP16_lie3,AN,16,AN_EP16,1,101,False,False,True,True
train,AN_WILTY_EP16_lie4,AN,16,AN_EP16,1,101,False,False,True,True
train,AN_WILTY_EP16_lie5,AN,16,AN_EP16,1,101,False,False,True,True
train,AN_WILTY_EP16_lie6,AN,16,AN_EP16,1,101,False,False,True,True
train,AN_WILTY_EP16_lie7,AN,16,AN_EP16,1,76,False,False,True,True
train,AN_WILTY_EP16_truth10,AN,16,AN_EP16,0,126,False,False,True,True
train,AN_WILTY_EP16_truth13,AN,16,AN_EP16,0,101,False,False,True,True
train,AN_WILTY_EP16_truth14,AN,16,AN_EP16,0,176,False,False,True,True
train,AN_WILTY_EP16_truth15,AN,16,AN_EP16,0,76,False,False,True,True
train,AN_WILTY_EP16_truth16,AN,16,AN_EP16,0,226,False,False,True,True
train,AN_WILTY_EP16_truth25,AN,16,AN_EP16,0,101,False,False,True,True
train,AN_WILTY_EP16_truth26,AN,16,AN_EP16,0,126,False,False,True,True
train,AN_WILTY_EP16_truth9,AN,16,AN_EP16,0,126,False,False,True,True
train,AN_WILTY_EP17_lie14,AN,17,AN_EP17,1,101,False,False,True,True
train,AN_WILTY_EP17_lie16,AN,17,AN_EP17,1,76,False,False,True,True
train,AN_WILTY_EP17_lie17,AN,17,AN_EP17,1,76,False,False,True,True
train,AN_WILTY_EP17_lie18,AN,17,AN_EP17,1,101,False,False,True,True
train,AN_WILTY_EP17_lie19,AN,17,AN_EP17,1,76,False,False,True,True
train,AN_WILTY_EP17_lie8,AN,17,AN_EP17,1,76,False,False,True,True
train,AN_WILTY_EP17_lie9,AN,17,AN_EP17,1,151,False,False,True,True
train,AN_WILTY_EP17_truth10,AN,17,AN_EP17,0,126,False,False,True,True
train,AN_WILTY_EP17_truth4,AN,17,AN_EP17,0,76,False,False,True,True
train,AN_WILTY_EP17_truth7,AN,17,AN_EP17,0,76,False,False,True,True
train,AN_WILTY_EP18_lie10,AN,18,AN_EP18,1,145,False,False,True,True
train,AN_WILTY_EP18_lie14,AN,18,AN_EP18,1,145,False,False,True,True
train,AN_WILTY_EP18_lie15,AN,18,AN_EP18,1,145,False,False,True,True
train,AN_WILTY_EP18_lie17,AN,18,AN_EP18,1,73,False,False,True,True
